Class,crop_planet_1,crop_planet_2,crop_planet_3,crop_planet_4,crop_planet_5,crop_planet_6,crop_planet_7,crop_planet_8
"1","6404.00000","6612.00000","6927.00000","6993.00000","7468.00000","7439.00000","7469.00000","8434.00000"
"1","6376.00000","6779.00000","7010.00000","7009.00000","7483.00000","7573.00000","7768.00000","8567.00000"
"1","5785.00000","6046.00000","6259.00000","6259.00000","6649.00000","6636.00000","6693.00000","7314.00000"
"1","3240.00000","3755.00000","3770.00000","3730.00000","3870.00000","3954.00000","3899.00000","5180.00000"
"1","2703.00000","3075.00000","3090.00000","3101.00000","3268.00000","3293.00000","3300.00000","4538.00000"
"1","3626.00000","3826.00000","3857.00000","3776.00000","3992.00000","4117.00000","3993.00000","5205.00000"
"1","3866.00000","4078.00000","4084.00000","4133.00000","4240.00000","4318.00000","4428.00000","5595.00000"
"1","3081.00000","3184.00000","3306.00000","3389.00000","3525.00000","3527.00000","3590.00000","4894.00000"
"1","5252.00000","5659.00000","5774.00000","5779.00000","6003.00000","6177.00000","6235.00000","7226.00000"
"1","5074.00000","5424.00000","5529.00000","5527.00000","5717.00000","5905.00000","5861.00000","6722.00000"
"1","4468.00000","4840.00000","4822.00000","4815.00000","4997.00000","5052.00000","5095.00000","6111.00000"
"1","4850.00000","5198.00000","5394.00000","5377.00000","5593.00000","5611.00000","5742.00000","6710.00000"
"1","5734.00000","6194.00000","6455.00000","6486.00000","6708.00000","6851.00000","6826.00000","7840.00000"
"1","6466.00000","6770.00000","7064.00000","7271.00000","7631.00000","7706.00000","7877.00000","8846.00000"
"1","6770.00000","6905.00000","7155.00000","7265.00000","7764.00000","7769.00000","7907.00000","8884.00000"
"1","6854.00000","7069.00000","7250.00000","7460.00000","7947.00000","7933.00000","8010.00000","8911.00000"
"1","6711.00000","6943.00000","7262.00000","7308.00000","7703.00000","7793.00000","7857.00000","8758.00000"
"1","5774.00000","5970.00000","6189.00000","6208.00000","6610.00000","6608.00000","6748.00000","7394.00000"
"2","58.00000","247.00000","214.00000","292.00000","320.00000","289.00000","296.00000","1055.00000"
"2","191.00000","314.00000","378.00000","430.00000","416.00000","392.00000","523.00000","1932.00000"
"2","158.00000","318.00000","351.00000","439.00000","390.00000","346.00000","578.00000","1666.00000"
"2","99.00000","265.00000","282.00000","373.00000","350.00000","303.00000","489.00000","1541.00000"
"2","82.00000","194.00000","194.00000","279.00000","296.00000","248.00000","271.00000","1237.00000"
"2","112.00000","193.00000","218.00000","282.00000","236.00000","236.00000","347.00000","1183.00000"
"2","65.00000","217.00000","202.00000","272.00000","250.00000","207.00000","368.00000","1320.00000"
"2","61.00000","191.00000","184.00000","266.00000","244.00000","189.00000","296.00000","1284.00000"
"2","950.00000","1229.00000","1155.00000","1172.00000","1161.00000","1204.00000","1352.00000","2428.00000"
"2","61.00000","179.00000","175.00000","240.00000","234.00000","215.00000","258.00000","1072.00000"
"2","3.00000","145.00000","173.00000","214.00000","192.00000","183.00000","310.00000","1264.00000"
"2","98.00000","152.00000","184.00000","219.00000","235.00000","171.00000","290.00000","1191.00000"
"2","60.00000","135.00000","172.00000","220.00000","196.00000","198.00000","273.00000","1183.00000"
"2","16.00000","150.00000","138.00000","204.00000","211.00000","185.00000","253.00000","1267.00000"
"2","6.00000","116.00000","89.00000","155.00000","110.00000","118.00000","249.00000","1441.00000"
"2","2.00000","111.00000","67.00000","122.00000","116.00000","101.00000","182.00000","1229.00000"
"2","2.00000","115.00000","63.00000","112.00000","96.00000","105.00000","198.00000","1210.00000"
"2","6.00000","116.00000","108.00000","158.00000","108.00000","124.00000","251.00000","1558.00000"
"2","1.00000","113.00000","82.00000","144.00000","118.00000","98.00000","258.00000","1234.00000"
"2","1.00000","117.00000","87.00000","148.00000","129.00000","114.00000","214.00000","1138.00000"
"2","3.00000","114.00000","49.00000","107.00000","104.00000","105.00000","166.00000","1184.00000"
"2","1.00000","114.00000","67.00000","104.00000","128.00000","78.00000","219.00000","1065.00000"
"2","1.00000","113.00000","55.00000","102.00000","92.00000","93.00000","154.00000","1021.00000"
"2","2.00000","111.00000","49.00000","105.00000","116.00000","85.00000","121.00000","1075.00000"
"2","233.00000","357.00000","313.00000","381.00000","391.00000","342.00000","432.00000","1376.00000"
"2","78.00000","212.00000","194.00000","253.00000","265.00000","213.00000","294.00000","1281.00000"
"2","70.00000","190.00000","194.00000","233.00000","214.00000","172.00000","280.00000","1313.00000"
"2","43.00000","155.00000","168.00000","248.00000","211.00000","186.00000","297.00000","1201.00000"
"2","242.00000","376.00000","339.00000","366.00000","372.00000","363.00000","327.00000","1131.00000"
